City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Nanortalik,60.1432,-45.2371,6.03,68,32,15.77,GL,2022-02-02 03:39:56
67,Aksu,41.1231,80.2644,28.29,40,0,1.34,CN,2022-02-02 03:39:56
68,Port Shepstone,-30.7414,30.455,75.56,90,91,13.2,ZA,2022-02-02 03:39:57
69,Puerto Quijarro,-17.7833,-57.7667,72.18,99,100,2.51,BO,2022-02-02 03:39:57
70,Fairbanks,64.8378,-147.7164,-22.92,74,0,0.0,US,2022-02-02 03:38:00
71,Saldanha,-33.0117,17.9442,66.25,96,84,12.48,ZA,2022-02-02 03:39:58
72,Necochea,-38.5473,-58.7368,60.04,74,75,7.38,AR,2022-02-02 03:39:58
73,Tuktoyaktuk,69.4541,-133.0374,-29.2,68,0,4.61,CA,2022-02-02 03:39:58
74,Dunedin,-45.8742,170.5036,76.8,60,70,5.01,NZ,2022-02-02 03:39:59
75,Narsaq,60.9167,-46.05,12.42,80,13,4.21,GL,2022-02-02 03:39:59
76,Esperance,-33.8667,121.9,75.04,47,16,21.52,AU,2022-02-02 03:35:35
77,Cidreira,-30.1811,-50.2056,72.88,77,0,14.25,BR,2022-02-02 03:39:24
78,Parana,-31.732,-60.5238,81.52,77,22,8.3,AR,2022-02-02 03:40:00
79,Mar Del Plata,-38.0023,-57.5575,69.1,88,0,5.01,AR,2022-02-02 03:40:00
80,Puerto Madryn,-42.7692,-65.0385,73.9,43,78,12.19,AR,2022-02-02 03:37:55
81,Riyadh,24.6877,46.7219,48.34,49,0,9.19,SA,2022-02-02 03:36:48
82,Pevek,69.7008,170.3133,-6.56,78,100,2.8,RU,2022-02-02 03:40:01
83,Airai,-8.9266,125.4092,74.53,53,56,6.4,TL,2022-02-02 03:35:27
84,Vao,-22.6667,167.4833,78.42,85,91,18.03,NC,2022-02-02 03:40:02
85,Namibe,-15.1961,12.1522,71.29,68,100,8.88,AO,2022-02-02 03:40:02
86,Arraial Do Cabo,-22.9661,-42.0278,75.69,87,100,7.34,BR,2022-02-02 03:40:02
87,Saint-Francois,46.4154,3.9054,45.68,99,100,6.91,FR,2022-02-02 03:40:03
88,Butaritari,3.0707,172.7902,82.27,76,23,14.12,KI,2022-02-02 03:40:03
89,La Ronge,55.1001,-105.2842,-10.95,58,75,10.36,CA,2022-02-02 03:40:03
90,Hobart,-42.8794,147.3294,67.01,37,75,3.0,AU,2022-02-02 03:40:19
91,Magdagachi,53.45,125.8,4.95,53,7,8.48,RU,2022-02-02 03:41:04
92,Mount Gambier,-37.8333,140.7667,64.31,45,100,16.11,AU,2022-02-02 03:41:04
93,Punta Arenas,-53.15,-70.9167,44.71,70,40,13.8,CL,2022-02-02 03:37:50
94,Lastoursville,-0.8143,12.7287,71.26,96,85,0.67,GA,2022-02-02 03:41:05
95,Ouesso,1.6136,16.0517,70.11,36,93,1.81,CG,2022-02-02 03:41:05
96,Constitucion,-35.3333,-72.4167,56.46,92,13,4.16,CL,2022-02-02 03:41:05
97,Maniitsoq,65.4167,-52.9,6.66,81,100,7.0,GL,2022-02-02 03:41:06
98,Sakaiminato,35.55,133.2333,46.38,61,40,17.27,JP,2022-02-02 03:41:06
99,New Norfolk,-42.7826,147.0587,66.65,36,85,3.0,AU,2022-02-02 03:41:07
100,Juli,-16.2167,-69.45,43.86,83,98,5.7,PE,2022-02-02 03:41:07
101,Lewiston,44.1003,-70.2148,28.31,75,100,0.0,US,2022-02-02 03:41:07
102,Hermanus,-34.4187,19.2345,67.89,86,2,6.26,ZA,2022-02-02 03:41:08
103,Ponta Do Sol,32.6667,-17.1,68.13,52,100,11.59,PT,2022-02-02 03:41:08
104,Aras,42.5617,-2.356,40.06,87,0,11.5,ES,2022-02-02 03:41:09
105,Sitka,57.0531,-135.33,30.09,80,100,19.57,US,2022-02-02 03:41:09
106,Iskateley,67.6803,53.1512,-2.04,97,100,6.49,RU,2022-02-02 03:41:09
107,Dikson,73.5069,80.5464,1.33,94,100,15.84,RU,2022-02-02 03:41:10
108,Moyale,3.5167,39.0584,70.66,47,100,5.99,KE,2022-02-02 03:41:10
109,Ust-Uda,54.1742,103.0304,0.41,93,94,1.79,RU,2022-02-02 03:41:10
110,San Vicente,-26.6167,-54.1333,67.66,45,0,2.55,AR,2022-02-02 03:41:11
111,Kavaratti,10.5669,72.642,80.55,68,6,9.22,IN,2022-02-02 03:41:11
112,Pisco,-13.7,-76.2167,69.85,78,40,12.66,PE,2022-02-02 03:41:11
113,Winslow,35.0242,-110.6974,46.58,32,100,1.99,US,2022-02-02 03:39:03
114,Umm Lajj,25.0213,37.2685,64.45,27,0,3.2,SA,2022-02-02 03:41:12
115,Westport,41.1415,-73.3579,35.56,72,100,5.01,US,2022-02-02 03:41:12
116,Saint-Leu,-21.15,55.2833,81.43,91,100,27.56,RE,2022-02-02 03:41:13
117,Victoria,22.2855,114.1577,62.26,90,100,1.99,HK,2022-02-02 03:38:20
118,Voh,-20.9667,164.7,87.15,53,51,11.14,NC,2022-02-02 03:41:13
119,Touros,-5.1989,-35.4608,77.9,80,56,8.61,BR,2022-02-02 03:41:13
120,Talnakh,69.4865,88.3972,4.21,96,100,7.07,RU,2022-02-02 03:41:14
121,San Cristobal,7.7669,-72.225,68.18,62,89,1.77,VE,2022-02-02 03:38:04
122,Tokur,53.1333,132.9,-2.25,80,48,2.93,RU,2022-02-02 03:41:14
123,Taoudenni,22.6783,-3.9836,65.86,26,62,11.83,ML,2022-02-02 03:41:15
124,Codrington,-38.2667,141.9667,62.22,52,96,14.52,AU,2022-02-02 03:41:15
125,Klaksvik,62.2266,-6.589,34.72,73,99,16.15,FO,2022-02-02 03:41:15
126,Srednekolymsk,67.45,153.6833,-8.23,92,100,10.38,RU,2022-02-02 03:41:16
127,Provideniya,64.3833,-173.3,14.11,67,20,33.55,RU,2022-02-02 03:41:16
128,Byron Bay,-28.65,153.6167,87.91,77,100,2.55,AU,2022-02-02 03:41:17
129,Viedma,-40.8135,-62.9967,68.56,60,100,17.38,AR,2022-02-02 03:41:17
130,Kenai,60.5544,-151.2583,21.15,91,100,25.32,US,2022-02-02 03:39:27
131,Olinda,-8.0089,-34.8553,82.13,74,40,5.75,BR,2022-02-02 03:41:17
132,Diffa,13.3154,12.6113,57.29,21,2,7.76,NE,2022-02-02 03:41:18
133,Longyearbyen,78.2186,15.6401,21.04,68,40,2.3,SJ,2022-02-02 03:41:18
134,Vredendal,-31.6683,18.5012,67.48,88,19,4.5,ZA,2022-02-02 03:41:18
135,San-Pedro,4.7485,-6.6363,75.79,90,100,4.9,CI,2022-02-02 03:41:19
136,Tarko-Sale,64.9225,77.785,-21.84,100,100,4.85,RU,2022-02-02 03:41:19
137,Albany,42.6001,-73.9662,30.78,72,100,3.0,US,2022-02-02 03:40:42
138,Tumbagaan,5.3656,120.3139,82.94,70,92,4.16,PH,2022-02-02 03:42:20
139,Moron,-34.6534,-58.6198,75.97,77,2,5.32,AR,2022-02-02 03:42:20
140,Juegang,32.3174,121.1855,44.98,60,100,8.43,CN,2022-02-02 03:42:20
141,Jamestown,42.097,-79.2353,36.72,50,75,5.99,US,2022-02-02 03:42:21
142,Lazaro Cardenas,17.9583,-102.2,74.61,66,1,3.78,MX,2022-02-02 03:42:21
143,Aldan,58.6031,125.3894,-8.41,91,100,6.35,RU,2022-02-02 03:42:21
144,Namatanai,-3.6667,152.4333,83.39,69,92,7.67,PG,2022-02-02 03:40:47
145,Pualas,8.0172,123.8481,86.77,58,92,8.16,PH,2022-02-02 03:42:22
146,Vestmannaeyjar,63.4427,-20.2734,38.25,78,100,15.55,IS,2022-02-02 03:42:22
147,Valparaiso,-33.0393,-71.6273,65.48,73,0,4.61,CL,2022-02-02 03:38:59
148,Port Hedland,-20.3167,118.5667,87.85,74,100,8.05,AU,2022-02-02 03:42:23
149,Castro,-24.7911,-50.0119,61.75,97,73,4.97,BR,2022-02-02 03:42:23
150,Almaznyy,48.0448,40.045,35.74,99,100,10.65,RU,2022-02-02 03:42:23
151,Najran,17.4924,44.1277,57.85,36,1,3.22,SA,2022-02-02 03:42:24
152,Iqaluit,63.7506,-68.5145,-5.31,70,75,17.0,CA,2022-02-02 03:42:24
153,Jining,35.405,116.5814,41.43,25,55,4.12,CN,2022-02-02 03:39:35
154,Trelew,-43.249,-65.3051,76.06,26,12,14.34,AR,2022-02-02 03:42:25
155,Jacareacanga,-6.2222,-57.7528,73.53,98,99,1.97,BR,2022-02-02 03:42:25
156,Pangai,-19.8,-174.35,81.12,66,8,8.3,TO,2022-02-02 03:42:26
157,Chokurdakh,70.6333,147.9167,-7.89,95,100,5.68,RU,2022-02-02 03:42:26
158,Luwuk,-0.9516,122.7875,84.0,64,100,0.83,ID,2022-02-02 03:42:26
159,Thanh Hoa,19.8,105.7667,64.11,70,98,5.21,VN,2022-02-02 03:42:27
160,Tunduma,-9.3,32.7667,57.9,98,100,1.77,TZ,2022-02-02 03:42:27
161,Devonport,-41.1667,146.35,70.99,38,31,11.34,AU,2022-02-02 03:42:27
162,Ilhabela,-23.7781,-45.3581,74.62,90,99,1.59,BR,2022-02-02 03:42:28
163,Burgersdorp,-30.9977,26.3286,61.57,90,76,3.49,ZA,2022-02-02 03:42:28
164,Krasnokamensk,50.0979,118.0369,-1.08,77,15,3.36,RU,2022-02-02 03:42:28
165,Cherskiy,68.75,161.3,9.68,67,100,4.92,RU,2022-02-02 03:42:29
166,Gat,31.61,34.7642,54.91,3,0,3.02,IL,2022-02-02 03:42:29
167,Torbay,47.6666,-52.7314,18.57,71,0,13.8,CA,2022-02-02 03:42:29
168,Mana,5.6592,-53.7767,77.36,79,72,10.94,GF,2022-02-02 03:42:30
169,Hasaki,35.7333,140.8333,52.29,31,0,23.55,JP,2022-02-02 03:42:30
170,Baiyin,36.5583,104.2081,23.88,40,94,4.05,CN,2022-02-02 03:42:31
171,Ubinskoye,55.3068,79.6802,7.97,100,97,4.25,RU,2022-02-02 03:42:31
